exp,item,sent,hasIC,num,isHIGH,tf_score,gpt_score,LSTM_avg_score,LSTM_1_score,LSTM_10_score,LSTM_11_score,LSTM_12_score,LSTM_13_score,LSTM_14_score,LSTM_15_score,LSTM_16_score,LSTM_17_score,LSTM_18_score,LSTM_19_score,LSTM_2_score,LSTM_20_score,LSTM_21_score,LSTM_22_score,LSTM_23_score,LSTM_24_score,LSTM_25_score,LSTM_3_score,LSTM_4_score,LSTM_5_score,LSTM_6_score,LSTM_7_score,LSTM_8_score,LSTM_9_score
story,1,The man admires the agent of the rockers who was,1,sg,1,0.9144065919,0.4017133427,0.1033065541,0.04056779657,0.1099295244,0.04621383038,0.02593302094,0.02581839264,0.03565364899,0.4308760855,0.08314675879,0.09098476599,0.1150266947,0.07046378033,0.0713189859,0.02471633643,0.1099915708,0.04735005917,0.06213702653,0.06927830344,0.016731836,0.197337915,0.1505333648,0.0582293469,0.123909976,0.2271746362,0.1367239714,0.2126162236
story,1,The man admires the agents of the rocker who was,1,sg,0,1,0.9129047382,0.6840154159,0.8998896962,0.6651021062,0.77701431,0.5962641533,0.8263585984,0.7757428302,0.222236887,0.686344577,0.7621297134,0.771379125,0.2763559559,0.5275825081,0.759830802,0.674284049,0.7109932718,0.8036892283,0.9280696324,0.8648084113,0.7902023824,0.577023705,0.6997508736,0.3836229444,0.845543897,0.5770271366,0.6991386037
story,1,The man works with the agent of the rockers who was,0,sg,1,0.9506607955,0.1147157977,0.1360610217,0.07560526263,0.121460451,0.05232022771,0.0124486802,0.03039608788,0.06264680961,0.5242588177,0.1097546053,0.1224019171,0.2124788244,0.05758245368,0.05058649742,0.03466983843,0.1563717268,0.07547216689,0.1572696443,0.05268352405,0.08301680571,0.2019340196,0.2146602718,0.09268308296,0.1986367797,0.3845028925,0.1555040092,0.1621801458
story,1,The man works with the agents of the rocker who was,0,sg,0,0.9930000443,0.8406677285,0.6822689186,0.7949422251,0.7866486467,0.6169849899,0.1261925796,0.5178610048,0.8311594547,0.3195593408,0.7934447694,0.7089782825,0.8419713001,0.4402103863,0.5829948494,0.8775976243,0.8922000045,0.8446561187,0.760585149,0.9377146046,0.891583349,0.872228257,0.2946652166,0.8324676906,0.4483244842,0.8696672159,0.5668985085,0.6071869134
story,1,The man admires the rocker of the agents who was,1,sg,1,0.3659838982,0.08825067324,0.07242597152,0.03720154057,0.07300555991,0.05828933128,0.01015708823,0.02390334212,0.05928674256,0.1293779529,0.07663442704,0.1184404325,0.03816352396,0.04884805694,0.1272553651,0.06846430701,0.08318396368,0.06334536609,0.02693236107,0.1061677204,0.03949245561,0.1468431227,0.113058156,0.05932070568,0.05713844766,0.04323293445,0.05514741447,0.1477589702
story,1,The man admires the rockers of the agent who was,1,sg,0,1,0.9728937673,0.7179910452,0.9106902254,0.576387439,0.8431431743,0.4196035651,0.8103093821,0.8869984397,0.7440435536,0.594032937,0.7654159601,0.7553273791,0.1535304164,0.8208138011,0.7388441315,0.7727746247,0.6896057323,0.6423945153,0.629937546,0.4237034114,0.8424126233,0.6794313301,0.9222540542,0.7360056693,0.7772403101,0.9003459876,0.9145299205
story,1,The man works with the rocker of the agents who was,0,sg,1,0.6643832285,0.05207218308,0.09152139114,0.06499109231,0.08710783074,0.0560256906,0.003789050115,0.02346838958,0.06646363406,0.2099817565,0.09078031993,0.1683597525,0.04651168589,0.0597393943,0.08585127466,0.08237826911,0.10812014,0.08695644641,0.0499738219,0.05136269168,0.1510501266,0.1761075653,0.146872879,0.07772926278,0.1191065225,0.1218095054,0.055750168,0.09774750863
story,1,The man works with the rockers of the agent who was,0,sg,0,1,0.9415337409,0.7197494396,0.8286681725,0.685390875,0.8059453592,0.09966514322,0.5312543403,0.8954720158,0.777405007,0.6740355557,0.679767514,0.8649833551,0.1818539464,0.9054481357,0.840472538,0.8716295827,0.8170308536,0.6571670072,0.6558916824,0.6956651905,0.8925577918,0.2531244942,0.9582848295,0.7531443334,0.8478753918,0.9219172087,0.8990856672
story,3,The man blamed the friend of the athletes who was,1,sg,1,0.9740792069,0.7654788674,0.08828247705,0.09950186628,0.09490012737,0.03060202205,0.02486796126,0.01480202256,0.03886385395,0.169490046,0.06539440721,0.1151977308,0.01587696451,0.1402769847,0.2553912326,0.08651950451,0.09455474283,0.08518245515,0.07932738157,0.03111033484,0.03983911183,0.1187546884,0.1808627834,0.06838310229,0.16100905,0.008883341729,0.05828154241,0.129188668
story,3,The man blamed the friends of the athlete who was,1,sg,0,0.9880502647,0.9564427597,0.7922716659,0.6623952876,0.9107489473,0.8809589075,0.9017628269,0.9522972135,0.9446584092,0.4416979087,0.6383465886,0.8453450705,0.9181756809,0.4146513167,0.9280271418,0.9387207004,0.7754370498,0.8255688275,0.9115859203,0.9519120393,0.764090724,0.6159867186,0.6417747537,0.9629255086,0.8160322149,0.7900101708,0.5980687046,0.7756130171
