exp,verb,item,sent,bias,isHigh,gender,layer,NP,sim
ic_match,abandoned,0,The man abandoned the boy because he,33,0,m,1,1,0.1295478113
ic_match,abandoned,0,The man abandoned the boy because he,33,0,m,1,2,0.02970103376
ic_match,abandoned,0,The man abandoned the boy because he,33,0,m,2,1,0.3411154729
ic_match,abandoned,0,The man abandoned the boy because he,33,0,m,2,2,0.2241740606
ic_match,abandoned,0,The boy abandoned the man because he,33,0,m,1,1,0.1350131843
ic_match,abandoned,0,The boy abandoned the man because he,33,0,m,1,2,0.05867947508
ic_match,abandoned,0,The boy abandoned the man because he,33,0,m,2,1,0.3182667489
ic_match,abandoned,0,The boy abandoned the man because he,33,0,m,2,2,0.2858473751
ic_match,acclaimed,0,The man acclaimed the boy because he,-58,0,m,1,1,0.1303532821
ic_match,acclaimed,0,The man acclaimed the boy because he,-58,0,m,1,2,0.03226099723
ic_match,acclaimed,0,The man acclaimed the boy because he,-58,0,m,2,1,0.346015917
ic_match,acclaimed,0,The man acclaimed the boy because he,-58,0,m,2,2,0.2422128951
ic_match,acclaimed,0,The boy acclaimed the man because he,-58,0,m,1,1,0.1356793304
ic_match,acclaimed,0,The boy acclaimed the man because he,-58,0,m,1,2,0.05994762388
ic_match,acclaimed,0,The boy acclaimed the man because he,-58,0,m,2,1,0.3225490365
ic_match,acclaimed,0,The boy acclaimed the man because he,-58,0,m,2,2,0.2957382848
ic_match,accompanied,0,The man accompanied the boy because he,-48,0,m,1,1,0.1306389976
ic_match,accompanied,0,The man accompanied the boy because he,-48,0,m,1,2,0.03646677636
ic_match,accompanied,0,The man accompanied the boy because he,-48,0,m,2,1,0.3543388866
ic_match,accompanied,0,The man accompanied the boy because he,-48,0,m,2,2,0.217380693
ic_match,accompanied,0,The boy accompanied the man because he,-48,0,m,1,1,0.1361032146
ic_match,accompanied,0,The boy accompanied the man because he,-48,0,m,1,2,0.05984030943
ic_match,accompanied,0,The boy accompanied the man because he,-48,0,m,2,1,0.3324074003
ic_match,accompanied,0,The boy accompanied the man because he,-48,0,m,2,2,0.2669999536
ic_match,accused,0,The man accused the boy because he,2,0,m,1,1,0.1279024314
